alignment_family,case_id,tool,repeat,seed,status,shared_input_hash,config_hash,native_total_cycles,native_mean_latency,native_p95_latency,native_utilization_percent,runtime_wall_seconds,evidence_level,comparison_boundary,raw_path,source_path,source_sha256,metric_definition
4x4 WS hold-out,holdout_rect_128x256x64,SCALE-Sim,0,40,completed,shape_and_frozen_mapping_contract,7cb7c5048ab6f87e5eba1aeb6dfcc4d6f53b1959fcc81a7ad6804a3604239b46,143189,,,92.1970949249112,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_rect_128x256x64/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_rect_128x256x64/r0/result.json,8c3d31e3f02f08bfdf5802bbd9c146674a74bae2ab60eb0459c3defba3a2e47c,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_128x256x64,SCALE-Sim,1,40,completed,shape_and_frozen_mapping_contract,7cb7c5048ab6f87e5eba1aeb6dfcc4d6f53b1959fcc81a7ad6804a3604239b46,143189,,,92.1970949249112,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_rect_128x256x64/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_rect_128x256x64/r1/result.json,55508d5c14490fbfe15f542640358539adbd17e6f70e69d399bf8bfd590b0ba0,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_128x256x64,STAGE,0,40,completed,shape_and_frozen_mapping_contract,5981473c8299b30d678f6306487ae1bcb6d09d83207645d1d59d7e4cff40086e,144384,,,91.42857142857143,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_rect_128x256x64/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_rect_128x256x64/r0/result.json,5b9190d0a091b569f5c97add620d18997705f02d1c81968fdb55821d81493fe7,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_128x256x64,STAGE,1,40,completed,shape_and_frozen_mapping_contract,5981473c8299b30d678f6306487ae1bcb6d09d83207645d1d59d7e4cff40086e,144384,,,91.42857142857143,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_rect_128x256x64/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_rect_128x256x64/r1/result.json,e75bc54f99de81bda656a00c1716bfd3753f58f20814f4fae74c74239663086a,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_256x64x192,SCALE-Sim,0,40,completed,shape_and_frozen_mapping_contract,2ca34cfdeb3c4e5d7c882b549ba9cffbe57c6501d055bc32fae528a33901878e,211419,,,93.44708762090355,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_rect_256x64x192/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_rect_256x64x192/r0/result.json,c02a1bef164ed10d03a2202b1fe27e342207cf74977ffbd2a14072c8b4144c48,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_256x64x192,SCALE-Sim,1,40,completed,shape_and_frozen_mapping_contract,2ca34cfdeb3c4e5d7c882b549ba9cffbe57c6501d055bc32fae528a33901878e,211419,,,93.44708762090355,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_rect_256x64x192/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_rect_256x64x192/r1/result.json,b3b4128c0ba365c1cf85a863b37c912ee31b681d6ef4362c099fe25974a9596b,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_256x64x192,STAGE,0,40,completed,shape_and_frozen_mapping_contract,96f4d8fbc5a70d21cafd83cef3ab1f54dc023801e655389392eefafb5143f6b8,203776,,,96.96969696969697,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_rect_256x64x192/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_rect_256x64x192/r0/result.json,96538bba50abf0808b0b8c548c00bf99666c1b45b08e40dda6d6089e1be047dd,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_256x64x192,STAGE,1,40,completed,shape_and_frozen_mapping_contract,96f4d8fbc5a70d21cafd83cef3ab1f54dc023801e655389392eefafb5143f6b8,203776,,,96.96969696969697,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/stage/holdout_rect_256x64x192/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/stage/holdout_rect_256x64x192/r1/result.json,44628ad6b1312ac1c4c624503cda3faa38999acc4469e55ff7ca3ed43c6ddb63,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_64x384x128,SCALE-Sim,0,40,completed,shape_and_frozen_mapping_contract,111e7db34170a28c4c1191b5d689995d32ced958bc649018c93d990d4d76f1f7,229045,,,86.22363729656479,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_rect_64x384x128/r0/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_rect_64x384x128/r0/result.json,270b0c05e8641918682340e6c377149b924e65f63f8e731bd5a40c0b3a2b96d6,Independent schedulers; cross-tool timing is Trend evidence
4x4 WS hold-out,holdout_rect_64x384x128,SCALE-Sim,1,40,completed,shape_and_frozen_mapping_contract,111e7db34170a28c4c1191b5d689995d32ced958bc649018c93d990d4d76f1f7,229045,,,86.22363729656479,,Trend,Independent schedulers; cross-tool timing is Trend evidence,raw/scalesim/holdout_rect_64x384x128/r1/result.json,experiments/aspdac/results/reviewer_extension_20260717/raw/scalesim/holdout_rect_64x384x128/r1/result.json,e373871890a8f138e180090ed9de572f6d0944a16bc1bd6612fd9f1b570f94ef,Independent schedulers; cross-tool timing is Trend evidence
