case_id,evidence_level,external_measured_accesses,family,hierarchy_action,mapping_hash,relative_error,scale,stage_replayed_accesses,tool
mlp_l1_m128,Exact input-contract replay,8388608,mlp_l1,dram_ifmap_reads,d15275447cfc25539942d1dd04d01dc8de17465bb14f8c5fade41ad70da24ee2,0.0,medium,8388608,SCALE-Sim
mlp_l1_m128,Exact input-contract replay,4194311,mlp_l1,dram_ofmap_writes,d15275447cfc25539942d1dd04d01dc8de17465bb14f8c5fade41ad70da24ee2,0.0,medium,4194311,SCALE-Sim
mlp_l1_m128,Exact input-contract replay,131072,mlp_l1,sram_filter_reads,d15275447cfc25539942d1dd04d01dc8de17465bb14f8c5fade41ad70da24ee2,0.0,medium,131072,SCALE-Sim
mlp_l1_m128,Exact input-contract replay,4194304,mlp_l1,sram_ifmap_reads,d15275447cfc25539942d1dd04d01dc8de17465bb14f8c5fade41ad70da24ee2,0.0,medium,4194304,SCALE-Sim
mlp_l1_m128,Exact input-contract replay,4194304,mlp_l1,sram_ofmap_writes,d15275447cfc25539942d1dd04d01dc8de17465bb14f8c5fade41ad70da24ee2,0.0,medium,4194304,SCALE-Sim
mlp_l1_m64,Exact input-contract replay,22138880,mlp_l1,dram_filter_reads,f5e5e198c5a0b8d83ece8300c70aab2c990ace045c7d58f87681d9cd9d3c539a,0.0,small,22138880,SCALE-Sim
mlp_l1_m64,Exact input-contract replay,4194304,mlp_l1,dram_ifmap_reads,f5e5e198c5a0b8d83ece8300c70aab2c990ace045c7d58f87681d9cd9d3c539a,0.0,small,4194304,SCALE-Sim
mlp_l1_m64,Exact input-contract replay,2097159,mlp_l1,dram_ofmap_writes,f5e5e198c5a0b8d83ece8300c70aab2c990ace045c7d58f87681d9cd9d3c539a,0.0,small,2097159,SCALE-Sim
mlp_l1_m64,Exact input-contract replay,131072,mlp_l1,sram_filter_reads,f5e5e198c5a0b8d83ece8300c70aab2c990ace045c7d58f87681d9cd9d3c539a,0.0,small,131072,SCALE-Sim
mlp_l1_m64,Exact input-contract replay,2097152,mlp_l1,sram_ifmap_reads,f5e5e198c5a0b8d83ece8300c70aab2c990ace045c7d58f87681d9cd9d3c539a,0.0,small,2097152,SCALE-Sim
mlp_l1_m64,Exact input-contract replay,2097152,mlp_l1,sram_ofmap_writes,f5e5e198c5a0b8d83ece8300c70aab2c990ace045c7d58f87681d9cd9d3c539a,0.0,small,2097152,SCALE-Sim
attention_qk_s256,Exact schedule replay,1523712,attention_qk,dram,d1330dd241ec024440929b16eeb4eb65c9453009b4a4c78cdc36b511eb1b3438,0.0,large,1523712,timeloop-model
attention_qk_s256,Exact schedule replay,2785280,attention_qk,global_buffer,d1330dd241ec024440929b16eeb4eb65c9453009b4a4c78cdc36b511eb1b3438,0.0,large,2785280,timeloop-model
attention_qk_s256,Exact schedule replay,13303808,attention_qk,local_buffer,d1330dd241ec024440929b16eeb4eb65c9453009b4a4c78cdc36b511eb1b3438,0.0,large,13303808,timeloop-model
attention_qk_s256,Exact schedule replay,8519680,attention_qk,register,d1330dd241ec024440929b16eeb4eb65c9453009b4a4c78cdc36b511eb1b3438,0.0,large,8519680,timeloop-model
attention_qk_s128,Exact schedule replay,385024,attention_qk,dram,4256893eccbdc0154e3cd3ba01e1e7453cb6418d32b92bffcaf8e65caebb69b5,0.0,medium,385024,timeloop-model
attention_qk_s128,Exact schedule replay,704512,attention_qk,global_buffer,4256893eccbdc0154e3cd3ba01e1e7453cb6418d32b92bffcaf8e65caebb69b5,0.0,medium,704512,timeloop-model
attention_qk_s128,Exact schedule replay,3342336,attention_qk,local_buffer,4256893eccbdc0154e3cd3ba01e1e7453cb6418d32b92bffcaf8e65caebb69b5,0.0,medium,3342336,timeloop-model
attention_qk_s128,Exact schedule replay,2129920,attention_qk,register,4256893eccbdc0154e3cd3ba01e1e7453cb6418d32b92bffcaf8e65caebb69b5,0.0,medium,2129920,timeloop-model
attention_qk_s64,Exact schedule replay,98304,attention_qk,dram,819dbfa1c78d9212f8fb1c6ae0efe7eccc0d8f9fc91749bf0b1ebaa6c7b76a3f,0.0,small,98304,timeloop-model
attention_qk_s64,Exact schedule replay,180224,attention_qk,global_buffer,819dbfa1c78d9212f8fb1c6ae0efe7eccc0d8f9fc91749bf0b1ebaa6c7b76a3f,0.0,small,180224,timeloop-model
attention_qk_s64,Exact schedule replay,843776,attention_qk,local_buffer,819dbfa1c78d9212f8fb1c6ae0efe7eccc0d8f9fc91749bf0b1ebaa6c7b76a3f,0.0,small,843776,timeloop-model
attention_qk_s64,Exact schedule replay,532480,attention_qk,register,819dbfa1c78d9212f8fb1c6ae0efe7eccc0d8f9fc91749bf0b1ebaa6c7b76a3f,0.0,small,532480,timeloop-model
gemm_s512,Exact schedule replay,50331648,gemm,dram,df2160d5b5e70a5be67c8e16e9abb38342e62b17254eb9c04859c469398262ea,0.0,large,50331648,timeloop-model
gemm_s512,Exact schedule replay,92274688,gemm,global_buffer,df2160d5b5e70a5be67c8e16e9abb38342e62b17254eb9c04859c469398262ea,0.0,large,92274688,timeloop-model
gemm_s512,Exact schedule replay,428343296,gemm,local_buffer,df2160d5b5e70a5be67c8e16e9abb38342e62b17254eb9c04859c469398262ea,0.0,large,428343296,timeloop-model
gemm_s512,Exact schedule replay,276299776,gemm,register,df2160d5b5e70a5be67c8e16e9abb38342e62b17254eb9c04859c469398262ea,0.0,large,276299776,timeloop-model
gemm_s256,Exact schedule replay,6291456,gemm,dram,316205a0e7ee2820ffd292016c92aa8036264b87c80c192412be75777b160962,0.0,medium,6291456,timeloop-model
gemm_s256,Exact schedule replay,11534336,gemm,global_buffer,316205a0e7ee2820ffd292016c92aa8036264b87c80c192412be75777b160962,0.0,medium,11534336,timeloop-model
gemm_s256,Exact schedule replay,53608448,gemm,local_buffer,316205a0e7ee2820ffd292016c92aa8036264b87c80c192412be75777b160962,0.0,medium,53608448,timeloop-model
gemm_s256,Exact schedule replay,34471936,gemm,register,316205a0e7ee2820ffd292016c92aa8036264b87c80c192412be75777b160962,0.0,medium,34471936,timeloop-model
gemm_s128,Exact schedule replay,786432,gemm,dram,1dbf7aa718ae47b5f642afcf2d6e8fd83349e7a3af871824ed437fa628b35d0b,0.0,small,786432,timeloop-model
gemm_s128,Exact schedule replay,1441792,gemm,global_buffer,1dbf7aa718ae47b5f642afcf2d6e8fd83349e7a3af871824ed437fa628b35d0b,0.0,small,1441792,timeloop-model
gemm_s128,Exact schedule replay,6717440,gemm,local_buffer,1dbf7aa718ae47b5f642afcf2d6e8fd83349e7a3af871824ed437fa628b35d0b,0.0,small,6717440,timeloop-model
gemm_s128,Exact schedule replay,4292608,gemm,register,1dbf7aa718ae47b5f642afcf2d6e8fd83349e7a3af871824ed437fa628b35d0b,0.0,small,4292608,timeloop-model
mlp_l1_m256,Exact schedule replay,12648448,mlp_l1,dram,39ffd12fe3cee5e2273d538ec23849418e42ee6506946d33e5ab61c9ed7e40d8,0.0,large,12648448,timeloop-model
mlp_l1_m256,Exact schedule replay,23199744,mlp_l1,global_buffer,39ffd12fe3cee5e2273d538ec23849418e42ee6506946d33e5ab61c9ed7e40d8,0.0,large,23199744,timeloop-model
mlp_l1_m256,Exact schedule replay,107347968,mlp_l1,local_buffer,39ffd12fe3cee5e2273d538ec23849418e42ee6506946d33e5ab61c9ed7e40d8,0.0,large,107347968,timeloop-model
mlp_l1_m256,Exact schedule replay,69074944,mlp_l1,register,39ffd12fe3cee5e2273d538ec23849418e42ee6506946d33e5ab61c9ed7e40d8,0.0,large,69074944,timeloop-model
mlp_l1_m128,Exact schedule replay,6389760,mlp_l1,dram,3c525d566ee1972ea3b9f0d115b3614e5ddba30c01e4f530abcb61c755a2812a,0.0,medium,6389760,timeloop-model
mlp_l1_m128,Exact schedule replay,11730944,mlp_l1,global_buffer,3c525d566ee1972ea3b9f0d115b3614e5ddba30c01e4f530abcb61c755a2812a,0.0,medium,11730944,timeloop-model
mlp_l1_m128,Exact schedule replay,53936128,mlp_l1,local_buffer,3c525d566ee1972ea3b9f0d115b3614e5ddba30c01e4f530abcb61c755a2812a,0.0,medium,53936128,timeloop-model
mlp_l1_m128,Exact schedule replay,34537472,mlp_l1,register,3c525d566ee1972ea3b9f0d115b3614e5ddba30c01e4f530abcb61c755a2812a,0.0,medium,34537472,timeloop-model
mlp_l1_m64,Exact schedule replay,3260416,mlp_l1,dram,cc84f20ba7c0a46f1e1215d3446bc326ab9ca812d9c1e6f3301a454f9ab955cb,0.0,small,3260416,timeloop-model
mlp_l1_m64,Exact schedule replay,5996544,mlp_l1,global_buffer,cc84f20ba7c0a46f1e1215d3446bc326ab9ca812d9c1e6f3301a454f9ab955cb,0.0,small,5996544,timeloop-model
mlp_l1_m64,Exact schedule replay,27230208,mlp_l1,local_buffer,cc84f20ba7c0a46f1e1215d3446bc326ab9ca812d9c1e6f3301a454f9ab955cb,0.0,small,27230208,timeloop-model
mlp_l1_m64,Exact schedule replay,17268736,mlp_l1,register,cc84f20ba7c0a46f1e1215d3446bc326ab9ca812d9c1e6f3301a454f9ab955cb,0.0,small,17268736,timeloop-model
