case_id,repeat,Sequence,Cycle,Phase,event_type,packet_id,flit_id,flit_index,total_flits,component_id,input_port,virtual_channel,output_port,link_id,occupancy_before,occupancy_after,Ready,Valid,Granted,serialization_bits,arrival_cycle,tail_complete,committed_visible,Delivered,buffer_released,Reason,evidence_label
noc_n03_single_512_vc3,1,13,5,1,flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,router_assembler,input0,3,router,source_link,3,4,True,True,False,0,5,True,False,False,False,tail_completes_packet,Independent oracle artifact
noc_n03_single_512_vc3,1,14,5,1,tail_reassembly,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,router_assembler,input0,3,router,source_link,3,4,True,True,False,0,5,True,False,False,False,store_and_forward_tail_complete,Independent oracle artifact
noc_n03_single_512_vc3,1,16,6,5,router_grant,noc_n03_single_512_vc3-p0,,-1,4,router,input0,3,output,router_output_link,4,0,True,True,True,0,-1,True,True,False,True,physical_input_round_robin_winner,Independent oracle artifact
noc_n03_single_512_vc3,1,17,6,5,output_flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,router_output_link,input0,3,sink,router_output_link,0,0,True,True,True,128,7,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,1,15,6,9,router_queue_visible,noc_n03_single_512_vc3-p0,,-1,4,router,input0,3,output,router_output_link,0,4,True,True,False,0,-1,True,True,False,False,tail_complete_committed,Independent oracle artifact
noc_n03_single_512_vc3,1,18,7,1,sink_flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f0,0,4,sink,input0,3,sink,router_output_link,0,1,True,True,False,0,7,False,False,False,False,head_or_body_not_component_visible,Independent oracle artifact
noc_n03_single_512_vc3,1,19,7,5,output_flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,router_output_link,input0,3,sink,router_output_link,0,0,True,True,True,128,8,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,1,20,8,1,sink_flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f1,1,4,sink,input0,3,sink,router_output_link,1,2,True,True,False,0,8,False,False,False,False,head_or_body_not_component_visible,Independent oracle artifact
noc_n03_single_512_vc3,1,21,8,5,output_flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,router_output_link,input0,3,sink,router_output_link,0,0,True,True,True,128,9,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,1,22,9,1,sink_flit_arrival_pending,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f2,2,4,sink,input0,3,sink,router_output_link,2,3,True,True,False,0,9,False,False,False,False,head_or_body_not_component_visible,Independent oracle artifact
noc_n03_single_512_vc3,1,23,9,5,output_flit_serialization,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,router_output_link,input0,3,sink,router_output_link,0,0,True,True,True,128,10,True,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n03_single_512_vc3,1,24,10,1,sink_tail_delivery,noc_n03_single_512_vc3-p0,noc_n03_single_512_vc3-p0-f3,3,4,sink,input0,3,sink,router_output_link,3,4,True,True,False,0,10,True,True,True,True,tail_commits_packet_delivery,Independent oracle artifact
noc_n04_single_1024,0,0,0,0,injection_requested,noc_n04_single_1024-p0,,-1,8,source,input0,0,router,source_link,0,0,True,True,False,0,-1,False,False,False,False,phase0_writes_next,Independent oracle artifact
noc_n04_single_1024,0,2,1,5,flit_issue,noc_n04_single_1024-p0,noc_n04_single_1024-p0-f0,0,8,source,input0,0,router,source_link,8,7,True,True,True,128,2,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n04_single_1024,0,3,1,5,flit_serialization,noc_n04_single_1024-p0,noc_n04_single_1024-p0-f0,0,8,source_link,input0,0,router,source_link,0,0,True,True,True,128,2,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n04_single_1024,0,1,1,9,source_visible,noc_n04_single_1024-p0,,-1,8,source,input0,0,router,source_link,0,8,True,True,False,0,-1,False,True,False,False,post_commit_current_state,Independent oracle artifact
noc_n04_single_1024,0,4,2,1,flit_arrival_pending,noc_n04_single_1024-p0,noc_n04_single_1024-p0-f0,0,8,router_assembler,input0,0,router,source_link,0,1,True,True,False,0,2,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
noc_n04_single_1024,0,5,2,5,flit_issue,noc_n04_single_1024-p0,noc_n04_single_1024-p0-f1,1,8,source,input0,0,router,source_link,7,6,True,True,True,128,3,False,True,False,False,strict_link_bit_budget,Independent oracle artifact
noc_n04_single_1024,0,6,2,5,flit_serialization,noc_n04_single_1024-p0,noc_n04_single_1024-p0-f1,1,8,source_link,input0,0,router,source_link,0,0,True,True,True,128,3,False,True,False,False,one_flit_per_cycle,Independent oracle artifact
noc_n04_single_1024,0,7,3,1,flit_arrival_pending,noc_n04_single_1024-p0,noc_n04_single_1024-p0-f1,1,8,router_assembler,input0,0,router,source_link,1,2,True,True,False,0,3,False,False,False,False,head_or_body_not_router_visible,Independent oracle artifact
