candidate_id,status,mesh_dimension,packet_count,seed,repeat,trace_mode,graph_build_seconds,graph_validation_seconds,compile_seconds,peak_working_set_bytes,topology_canonical_sha256
p0-stage-reviewer-scaling-e0c6aa89da77c5f3,completed,4,10000,40,2,full,0.1800417,0.0039043,0.0473472,71053312,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-ba49d9d5b0bd58e9,completed,4,10000,40,2,metrics_only,0.1834781,0.0039968,0.0478355,62562304,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-912498599d3fb4c7,completed,4,100000,40,0,full,0.2090432,0.0041142,0.0507821,74010624,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-c54e67097f41d2b7,completed,4,100000,40,0,metrics_only,0.1966853,0.0060951,0.051583,72056832,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-316e99fe37b0a3cc,completed,4,100000,40,1,full,0.2061379,0.004184,0.0496965,72798208,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-292074367e39c597,completed,4,100000,40,1,metrics_only,0.2032253,0.003853,0.0491118,70725632,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-389a387171634b84,completed,4,100000,40,2,full,0.2167259,0.00502,0.0526978,72867840,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-30bdc50ab1ad2c9b,completed,4,100000,40,2,metrics_only,0.2018195,0.0046524,0.0549313,70606848,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-ad033ece6dad253f,completed,4,1000000,40,0,full,0.2146126,0.0050603,0.0573185,74104832,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-d053fab363338d01,completed,4,1000000,40,0,metrics_only,0.2006394,0.0040724,0.0567583,72560640,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-f58296f1a98c2d7f,completed,4,1000000,40,1,full,0.1871093,0.0040807,0.0495924,74125312,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-21b74b7c800ee66a,completed,4,1000000,40,1,metrics_only,0.1948544,0.0040788,0.048294,71372800,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-2556729a87d8e7dd,completed,4,1000000,40,2,full,0.1973038,0.0045572,0.0537308,72679424,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-bcfa3c4aafc57165,completed,4,1000000,40,2,metrics_only,0.2028768,0.0040971,0.0536509,73142272,a61ebe0fcca87f68a95fe7aa274877fcd20e3a20d8bf2f72a8d9fde7536aaee1
p0-stage-reviewer-scaling-54d220c08b9a0f84,completed,8,10000,40,0,full,0.2586699,0.0114838,0.1168455,85921792,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-371774825947c5a0,completed,8,10000,40,0,metrics_only,0.2776841,0.0138356,0.1284627,82268160,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-349c73a123685b20,completed,8,10000,40,1,full,0.2579561,0.0116229,0.1147887,81313792,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-ef38770a4288366e,completed,8,10000,40,1,metrics_only,0.2997923,0.0134756,0.1379713,83288064,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-9b6afaa77994d1c1,completed,8,10000,40,2,full,0.2828784,0.0162873,0.1269439,87068672,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-deb0d43a266d5430,completed,8,10000,40,2,metrics_only,0.2733159,0.012856,0.1194992,83271680,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-089dd658647d5d48,completed,8,100000,40,0,full,0.2456796,0.0121618,0.1149505,87633920,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-74a4a87c10c9a44b,completed,8,100000,40,0,metrics_only,0.257532,0.0113223,0.1157831,85336064,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-7ce80518ce1af032,completed,8,100000,40,1,full,0.4624201,0.013675,0.1401641,89649152,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-e1bd7fefe9bcf441,completed,8,100000,40,1,metrics_only,0.2858134,0.0152069,0.1248346,86675456,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-21fcc89da5d2ee0b,completed,8,100000,40,2,full,0.2605176,0.0122323,0.125989,87506944,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-8c544675afc1a961,completed,8,100000,40,2,metrics_only,0.2929183,0.0124193,0.116494,86417408,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-173ded8cd4702828,completed,8,1000000,40,0,full,0.2441804,0.011211,0.1158743,87670784,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-dafb2d7002386e38,completed,8,1000000,40,0,metrics_only,0.3232994,0.0138909,0.1277331,87474176,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-10459c160742cd6c,completed,8,1000000,40,1,full,0.2956991,0.0156434,0.1300764,87531520,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-d48a3068abfd4799,completed,8,1000000,40,1,metrics_only,0.276325,0.0119839,0.1185602,87494656,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-d29df1e9a1e00eef,completed,8,1000000,40,2,full,0.2755292,0.0120876,0.1240343,82046976,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-f502bb189a86e806,completed,8,1000000,40,2,metrics_only,0.2816509,0.0117673,0.1203216,87416832,270e4e74071373a331af527779e946ca3227a38e04164ef5636f61cf355dbeb0
p0-stage-reviewer-scaling-2df331ebb56fea16,completed,16,10000,40,0,full,0.558519,0.0864475,0.5004381,161165312,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-f3a1fee489865955,completed,16,10000,40,0,metrics_only,0.5910845,0.0844855,0.4817708,163631104,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-e944c0bf5cb747cb,completed,16,10000,40,1,full,0.5349913,0.0814462,0.5345355,162398208,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-beca1a3f2559a789,completed,16,10000,40,1,metrics_only,0.5615857,0.1007051,0.4595626,164073472,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-d9033def27a6f19f,completed,16,10000,40,2,full,0.6079941,0.0869985,0.5419017,162373632,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-ae972259f991cb34,completed,16,10000,40,2,metrics_only,0.5657264,0.0910829,0.5473644,163577856,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-38adb2ec61bbebd2,completed,16,100000,40,0,full,0.5762528,0.0848799,0.4783146,161132544,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-7a4924fd7eedfd5b,completed,16,100000,40,0,metrics_only,0.5565439,0.081955,1.1071182,161312768,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-9abfa666949250f1,completed,16,100000,40,1,full,0.6119059,0.0839584,0.5350917,162648064,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-5cd584aa6363f74b,completed,16,100000,40,1,metrics_only,0.560586,0.0858878,0.5080267,160333824,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-7ed39d67ae942a11,completed,16,100000,40,2,full,0.5886422,0.0867143,0.4928207,162705408,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-9480407e58443000,completed,16,100000,40,2,metrics_only,0.6094501,0.0959438,0.5474312,162279424,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-c1e0232e4dd319e6,completed,16,1000000,40,0,full,0.5544185,0.0927839,0.500688,161890304,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-96eefb741e1f0dcf,completed,16,1000000,40,0,metrics_only,0.5644059,0.0855211,0.5147811,161509376,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-21f0b198d168e866,completed,16,1000000,40,1,full,0.5675178,0.0812759,0.4849395,160362496,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-e9f2c84eae9927cc,completed,16,1000000,40,1,metrics_only,0.5595247,0.0959638,0.4761605,162459648,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-e3714e4b19a4c0b4,completed,16,1000000,40,2,full,0.573474,0.0873642,0.4643366,162304000,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-c7646f2862c561e7,completed,16,1000000,40,2,metrics_only,0.6014965,0.1198475,0.5095303,162430976,829d40b65df3fd65b039dec0c2983d37a62d52b3685b1dd300bd0d12e74c24a3
p0-stage-reviewer-scaling-9a62f3c0b112509c,completed,32,10000,40,0,full,2.0875828,0.8656525,2.4920168,468111360,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-f13dfc217891d70c,completed,32,10000,40,0,metrics_only,2.1766057,0.8587075,2.2605246,464117760,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-0ba4dad9148f39be,completed,32,10000,40,1,full,2.2900092,0.8512822,2.321739,464687104,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-7fe9060e20440c5e,completed,32,10000,40,1,metrics_only,2.2287552,0.9750069,2.4125218,466653184,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-96eb0d418341fd9f,completed,32,10000,40,2,full,2.1852226,1.0189982,2.7051113,463790080,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-5c2a8a46bbe930b4,completed,32,10000,40,2,metrics_only,2.3338523,0.895654,2.3979351,463376384,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-a07b85a3a6421e5c,completed,32,100000,40,0,full,2.2030326,1.0343115,2.3289684,463888384,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-650edcf676448abb,completed,32,100000,40,0,metrics_only,2.2276764,0.9231559,2.2794982,464064512,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-a7bd56402a20a3e8,completed,32,100000,40,1,full,2.2037481,0.8663812,2.4229526,463802368,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-ee00d6a4cd84b7fa,completed,32,100000,40,1,metrics_only,2.3200465,0.9644404,2.4078594,465289216,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-d6d31ec85d9c0f74,completed,32,100000,40,2,full,2.1841435,0.9694202,2.4948116,463904768,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-2c894ef323acf0df,completed,32,100000,40,2,metrics_only,2.2856938,1.0026032,2.4212704,464076800,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-8f4f8f47d0d0780f,completed,32,1000000,40,0,full,2.1626821,0.8842799,2.2772268,464019456,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-76caadd555b6c2fc,completed,32,1000000,40,0,metrics_only,2.2060033,1.0507664,2.391747,462491648,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-e991e46894b8d944,completed,32,1000000,40,1,full,2.2400818,0.8094564,2.0076499,464076800,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-26f4a4c591190541,completed,32,1000000,40,1,metrics_only,2.0614527,0.8331581,2.6119715,467546112,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-e3ccc751f1561392,completed,32,1000000,40,2,full,2.241091,0.8388802,2.2105779,464637952,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
p0-stage-reviewer-scaling-9f17fabc5fa33b35,completed,32,1000000,40,2,metrics_only,2.2236825,0.9723621,2.0656818,463458304,89d012a0e43a6a0759adbfe7e0f9f9a388d9f7cbe8751e2596c2618275312223
