candidate_id,architecture,repeat,profile,component,energy_pj,scales_with,activity,activity_unit,owner
rfbr1-368e24042bffe9ce0d3e,O4,1,high,oe_receiver_tia,75398.4,encoded_bit_count,22176,encoded_bit,sidecar_oe
rfbr1-368e24042bffe9ce0d3e,O4,1,high,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-368e24042bffe9ce0d3e,O4,1,high,waveguide_passive,0,length_loss_not_dynamic_bits,0.118166666667,mm,sidecar_loss_budget
rfbr1-368e24042bffe9ce0d3e,O4,1,high,laser,9824640,execution_time_x_provisioned_tx_lanes,70176,lane_ns,sidecar_static_laser
rfbr1-368e24042bffe9ce0d3e,O4,1,high,thermal_tuning,3649152,execution_time_x_active_resonators,140352,resonator_ns,sidecar_static_tuning
rfbr1-fb217cb86a22544d7a71,H4,0,low,serializer,1761.28,original_bit_count,4096,original_bit,sidecar_serdes_tx
rfbr1-fb217cb86a22544d7a71,H4,0,low,deserializer_cdr,2238.72,encoded_bit_count,4224,encoded_bit,sidecar_serdes_rx
rfbr1-fb217cb86a22544d7a71,H4,0,low,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-fb217cb86a22544d7a71,H4,0,low,eo_modulator_driver,211.2,encoded_bit_count,4224,encoded_bit,sidecar_eo
rfbr1-fb217cb86a22544d7a71,H4,0,low,oe_receiver_tia,295.68,encoded_bit_count,4224,encoded_bit,sidecar_oe
rfbr1-fb217cb86a22544d7a71,H4,0,low,wdm_mux_demux_passive,0,loss_budget_not_dynamic_bits,1,present_boolean,sidecar_loss_budget
rfbr1-fb217cb86a22544d7a71,H4,0,low,waveguide_passive,0,length_loss_not_dynamic_bits,0.13825,mm,sidecar_loss_budget
rfbr1-fb217cb86a22544d7a71,H4,0,low,laser,6835.2,execution_time_x_provisioned_tx_lanes,22784,lane_ns,sidecar_static_laser
rfbr1-fb217cb86a22544d7a71,H4,0,low,thermal_tuning,0,execution_time_x_active_resonators,0,resonator_ns,sidecar_static_tuning
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,serializer,6553.6,original_bit_count,4096,original_bit,sidecar_serdes_tx
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,deserializer_cdr,10213.632,encoded_bit_count,4224,encoded_bit,sidecar_serdes_rx
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,gearbox,0,encoded_bit_count_if_instantiated,0,encoded_bit,explicitly_excluded_no_rate_conversion
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,eo_modulator_driver,2956.8,encoded_bit_count,4224,encoded_bit,sidecar_eo
rfbr1-fb217cb86a22544d7a71,H4,0,nominal,oe_receiver_tia,5913.6,encoded_bit_count,4224,encoded_bit,sidecar_oe
