config_id,family,family_label,family_position,workload,shape,M,N,K,precision,timeloop_compute_cycles,stage_matched_compute_cycles,cycle_pair_sum,timeloop_cycle_fraction,stage_cycle_fraction,timeloop_cycle_percent,stage_cycle_percent,cycle_signed_error,cycle_absolute_error,cycle_relative_error,cycle_exact_match,accelergy_shared_ert_energy_pj,stage_matched_energy_pj,energy_pair_sum_pj,accelergy_energy_fraction,stage_energy_fraction,accelergy_energy_percent,stage_energy_percent,energy_signed_error_pj,energy_absolute_error_pj,energy_relative_error,energy_exact_match,cycle_small_result_flag,energy_small_result_flag,cycle_zero_component_flag,energy_zero_component_flag,normalization_status
C11,rectangular_gemm,Rectangular GEMM,4,rectangular_gemm_m128_n256_k064,M=128;N=256;K=64,128,256,64,int16,131072,131072,262144,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,126499545.47032392,126499545.4703239,252999090.94064782,0.500000000000000040,0.499999999999999960,50.000000000000004,49.999999999999996,-0.000000014901161193847656,0.000000014901161193847656,1.177961639185761600E-16,True,False,False,False,False,ok
C12,rectangular_gemm,Rectangular GEMM,5,rectangular_gemm_m192_n096_k256,M=192;N=96;K=256,192,96,256,int16,294912,294912,589824,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,290872961.3875888,290872961.3875888,581745922.7751776,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C13,rectangular_gemm,Rectangular GEMM,6,rectangular_gemm_m256_n064_k192,M=256;N=64;K=192,256,64,192,int16,196608,196608,393216,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,192701404.10884586,192701404.1088459,385402808.21769176,0.499999999999999948,0.500000000000000052,49.999999999999995,50.000000000000005,0.000000029802322387695312,0.000000029802322387695312,1.546554501017631700E-16,True,False,False,False,False,ok
C14,rectangular_gemm,Rectangular GEMM,7,rectangular_gemm_m256_n512_k128,M=256;N=512;K=128,256,512,128,int16,1048576,1048576,2097152,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,1021346837.5725113,1021346837.5725113,2042693675.1450226,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C15,rectangular_gemm,Rectangular GEMM,8,rectangular_gemm_m384_n128_k064,M=384;N=128;K=64,384,128,64,int16,196608,196608,393216,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,187291448.4019659,187291448.4019659,374582896.8039318,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C16,mlp_l1,MLP-L1,1,mlp_l1_m032,M=32;N=256;K=512,32,256,512,int16,262144,262144,524288,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,276138414.2097678,276138414.2097678,552276828.4195356,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C17,mlp_l1,MLP-L1,2,mlp_l1_m064,M=64;N=256;K=512,64,256,512,int16,524288,524288,1048576,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,532613869.9913756,532613869.9913757,1065227739.9827513,0.499999999999999953,0.500000000000000047,49.999999999999995,50.000000000000005,0.00000005960464477539063,0.00000005960464477539063,1.119096744070066600E-16,True,False,False,False,False,ok
C18,mlp_l1,MLP-L1,3,mlp_l1_m096,M=96;N=256;K=512,96,256,512,int16,786432,786432,1572864,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,789089325.7729836,789089325.7729836,1578178651.5459672,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
C19,mlp_l1,MLP-L1,4,mlp_l1_m128,M=128;N=256;K=512,128,256,512,int16,1048576,1048576,2097152,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,1045564781.5545913,1045564781.5545914,2091129563.1091827,0.499999999999999976,0.500000000000000024,49.999999999999998,50.000000000000002,0.00000011920928955078125,0.00000011920928955078125,1.140142549307520400E-16,True,False,False,False,False,ok
C20,mlp_l1,MLP-L1,5,mlp_l1_m192,M=192;N=256;K=512,192,256,512,int16,1572864,1572864,3145728,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0,0,0.000000000000000000E+18,True,1558515693.117807,1558515693.117807,3117031386.235614,0.500000000000000000,0.500000000000000000,50.000000000000000,50.000000000000000,0.0,0.0,0.000000000000000000E+17,True,False,False,False,False,ok
